colibri-golden-manifest version=1 format=h11_request cases=32
h11_request_get len=27 crc32=0xf1a58513 verdict=accept construction=literal
h11_request_leading_empty_line len=29 crc32=0x74fa7e03 verdict=accept construction=literal
h11_request_length len=55 crc32=0xf570d44e verdict=accept construction=literal
h11_request_chunked len=90 crc32=0x4b2690c6 verdict=accept construction=literal
h11_request_gzip_chunked len=74 crc32=0x46de75e6 verdict=accept construction=literal
h11_request_absolute_form len=52 crc32=0x090326ad verdict=accept construction=literal
h11_request_connect len=55 crc32=0x55967e8b verdict=accept construction=literal
h11_request_options_asterisk len=31 crc32=0x4c9a77b1 verdict=accept construction=literal
h11_request_http10_no_host len=18 crc32=0x0d95c1ff verdict=accept construction=literal
h11_request_length_and_chunked len=80 crc32=0x27a3d7e0 verdict=TransferEncodingWithContentLength construction=literal
h11_request_chunked_then_gzip len=62 crc32=0xca47d8d2 verdict=ChunkedNotLast construction=literal
h11_request_gzip_alone len=53 crc32=0x9297e660 verdict=ChunkedNotLast construction=literal
h11_request_chunked_twice len=89 crc32=0xe822bc4b verdict=ChunkedNotLast construction=literal
h11_request_space_before_colon len=57 crc32=0x8242a8b9 verdict=WhitespaceBeforeColon construction=literal
h11_request_obs_fold len=58 crc32=0xecde5106 verdict=ObsFold construction=literal
h11_request_quoted_chunked len=58 crc32=0xe314fed8 verdict=TransferEncodingInvalid construction=literal
h11_request_unknown_coding len=57 crc32=0x82e8a240 verdict=CodingUnsupported construction=literal
h11_request_length_disagrees len=55 crc32=0x082a7abd verdict=ContentLengthInvalid construction=literal
h11_request_length_signed len=53 crc32=0x6b0e0483 verdict=ContentLengthInvalid construction=literal
h11_request_http10_chunked len=52 crc32=0x17e9956e verdict=TransferEncodingInHttp10 construction=literal
h11_request_chunk_size_overflow len=75 crc32=0x19ae8178 verdict=ChunkSizeTooLarge construction=literal
h11_request_chunk_lone_lf len=70 crc32=0x400f0b0a verdict=BareLineFeed construction=literal
h11_request_chunk_data_long len=69 crc32=0xfaa64d62 verdict=ChunkDataEndInvalid construction=literal
h11_request_bare_cr len=32 crc32=0x7c75b473 verdict=BareCarriageReturn construction=literal
h11_request_lone_lf len=24 crc32=0xb302748a verdict=BareLineFeed construction=literal
h11_request_no_host len=18 crc32=0x30f5e84f verdict=HostMissing construction=literal
h11_request_host_twice len=36 crc32=0x90ecdc6d verdict=HostRepeated construction=literal
h11_request_host_userinfo len=29 crc32=0x262aa507 verdict=HostInvalid construction=literal
h11_request_version_lowercase len=27 crc32=0x07533ee4 verdict=VersionInvalid construction=literal
h11_request_two_spaces len=28 crc32=0x3a276787 verdict=TargetInvalid construction=literal
h11_request_body_short len=51 crc32=0x90d08fc4 verdict=Truncated construction=literal
h11_request_trailing_octets len=28 crc32=0xbef5dfe5 verdict=TrailingOctets construction=literal
